Group Pattern,Confidence,Company Code,Vendor,value,Amount Overbooked,Group Contains,Date,Group UUID,Region,Description,Payment Method,Special Intructions,reference,,,
similar date,High,3000,Global Business Properties,1800,1200,All Cleared,2/24/2025,4d30f06ec11a73d035430015bf1cbbaa22f004f920492f8fe59b9a9e93cffde9,East,Cybersecurity Services,Cash,Please see attached itemized list for detailed charges,Inv-699,,,
unique,High,3000,Global Business Properties,1800,1200,All Cleared,1/24/2025,658494f32457f4e830773456728c88f2aca1a36db16462e92536413b54f84b2f,South,Data Backup and Recovery,Bank Transfer,,Inv-2281,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,1/18/2025,b9a5695995a70feff20ff2bf426400b23d7c02cf4e2f2cbd64f67f397992f742,North,Design Consultation Services,PayPal,,Inv-6140,,,
similar payment_method,High,3000,GATORSA,1800,1200,All Open,2/3/2025,beb343f28b9472f72e0bf667644b0057aa8e36e80c41244e6909beb5e255e415,East,Digital Marketing Campaign,Credit Card,,Inv-4321,,,
similar vendor,High,3000,Multiple,1800,1200,All Open,2/17/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7,West,Document Review Services,Credit Card,,Inv-446,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,2/21/2025,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1,East,Domain Name Registration,Credit Card,,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,1/26/2025,a035f0d3bb5a1873a23c23ccf64aa573e72e4089bf28012f24fe214ecdfd4fad,East,Donation Processing,Credit Card,Please reference invoice number in all correspondence,Inv-1144,,,
exact,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,3/5/2025,c19e6df1600de0cadaffd8c0b12e0ae754bd5840451a40f838e9ed76939144f0,North,E-commerce Platform Setup,Credit Card,,Inv-369,,,
similar value,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,3/27/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658,North,Email Marketing Services,Cash,Custom instructions provided by customer will be followed,Inv-6742,,,
similar date,High,3000,WCB - Saskatchewan,1716.485173,858.2425864,All Open,3/7/2025,0b8e27ca54496f2a8893684efe8afb801e6d62cb429e1251cad3bdee7b06bced,North,Employee Training Programs,PayPal,,Inv-1093,,,
similar date,High,3000,Aztec Supplies,1716.485173,858.2425864,All Open,4/11/2025,0e5acc6d79a31911f827df483260a20e0284af8e4ebcbee0e97e41b1f10af303,North,Equipment Rental Fees,Bank Transfer,This invoice includes recurring monthly charges,Inv-4746,,,
exact,High,3000,World Wide Computer Warehouse,1716.485173,858.2425864,All Open,2/24/2025,110b51d66a02e09cb64815c6710f056c795a557dfc9c6f6db7f7dcbe16ddbdfc,South,Event Photography,Bank Transfer,,Inv-5791,,,
similar special_instructions,High,3000,CAFS Chemicals & Pharmaceuticals,1716.485173,858.2425864,All Open,1/2/2025,257f9229f0fdc4b0ea0ecd471f3c80500e52751ce9996073dd31f2b779b140b8,North,Event Planning Services,Credit Card,Details of any applicable discounts are attached,Inv-5658,,,
similar reference,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,3/14/2025,2dc066b6cfca55ce8c36737830ca537f2cdf6983b52db16b73b327281a35ccbb,South,Exhibition Fees,Credit Card,,Inv-4245,,,
unique,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,2/12/2025,2ed41e7bafde114df6ff061b43936a110983b56f4427431ae9c3803910909818,East,Financial Planning Services,Bank Transfer,,Inv-9594,,,
similar reference,High,3000,Manhattan Corporation,1716.485173,858.2425864,All Open,2/1/2025,327d7caebfb85d6a7559bf42731a3127e9f8311f44faff9650f15db699751b20,North,Flyer and Brochure Design,Cash,,Inv-2873,,,
similar date,High,3000,CET New York,1716.485173,858.2425864,All Open,3/7/2025,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea,East,Focus Group Moderation,Credit Card,,Inv-4380,,,
similar reference,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/30/2025,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac,West,Fundraising Services,PayPal,,Inv-8835,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,4/1/2025,bfbf57fe8f94cf97a3aa19efb6950afb682cd1dcbdd40ca960b954871c056f42,North,Grant Writing Services,PayPal,,Inv-1181,,,
similar vendor,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/15/2025,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c,North,Graphic Design Services,Bank Transfer,Credit terms are available upon request,Inv-4959,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,East,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/21/2025,e4ea486d7ab540f96d72efbc567702971ce32e560f24c857b920939c56aec62e,South,HR Consultation Services,Credit Card,A finance charge of 1.5% per month will apply to overdue balances,Inv-1000,,,
similar value,High,3000,WCB - British Columbia,1716.485173,858.2425864,All Open,4/10/2025,f8886f2b02d35f1a1c577bea80a5a7adeeb27efe851236a50bc3d0aa4d9d386f,West,Illustration and Artwork,Cash,,Inv-6604,,,
similar value,High,3000,?????????,1200,600,All Open,2/18/2025,0104d5e828ee4600c93f0f11ceb0cc1f82cf375e55e9e159584696f19b08018b,South,Influencer Marketing,Cash,"Payment plans are available, please contact for more details",Inv-582,,,
exact,High,3000,Proveedor 1,1200,600,All Cleared,1/14/2025,0b93770c8c5716171d7cdfda34fbf0bf76d9e7bc22122ff702925d22ece8ed38,South,Insurance Premiums,Credit Card,,Inv-8773,,,
similar payment_method,High,3000,"eSupplier, Inc",1200,600,All Open,1/19/2025,0f0a415e0e3cc28b7554189231bbcb2943bbf77a78a388c8ffcdc5123ec3b7cc,West,Inventory Management,PayPal,,Inv-1216,,,
similar special_instructions,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,1/5/2025,114d9c9a98a98e902a7dbc3e6d6730ec14f1bfe0f414ba8437fafd0701fa466c,East,IT Support Services,PayPal,,Inv-1890,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,PayPal,,Inv-8913,,,
similar value,High,3000,Manhattan Corp.,1200,600,All Open,2/13/2025,1a02290841f102f2666ffebcfa22baa0635a6c98593c522745949aceb2240f83,West,Licensing Fees,Credit Card,,Inv-3125,,,
similar region,High,3000,SKF Americas,1200,600,All Open,3/23/2025,1e75d078ed7801cb70a4d6a8a650c2f89c8f42b83fa18ed181d882fd3e4a9054,North,Logo Creation and Design,Credit Card,,Inv-8184,,,
similar date,High,3000,Global Business Properties,1200,600,All Cleared,4/8/2025,1e7890e5a4957509edb4671948b1fca61bdaa1b2bcd0ba9b5ba2aa25c43f64e7,North,Managed IT Services,Bank Transfer,,Inv-5917,,,
unique,High,3000,IOT AG,1200,600,All Open,1/20/2025,23bcc5e88f379adffb198404864758e29490b02f5b83bb0783e492a47ffd2504,West,Market Research Services,Bank Transfer,,Inv-3894,,,
similar value,High,3000,"eSupplier, Inc",1200,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/11/2025,29fcd6fb36fadfd0c8d55fdcb47efab985b0f7f609d3250b1e799b83938b6a9f,West,Mediation and Arbitration,Cash,,Inv-7487,,,
unique,High,3000,PA Electronics,1200,600,All Open,1/18/2025,2d8be040c40f31f739ef395decb535cbe8b35a5648b6ef8b3d14ceb0d40bf08a,North,Membership Fees,PayPal,Quality assurance report is attached,Inv-1250,,,
similar vendor,High,3000,WCB - Nova Scotia,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar payment_method,High,3000,?????????,1200,600,All Open,1/2/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588,North,Network Installation and Setup,Bank Transfer,Handling fees for hazardous materials apply,Inv-7904,,,
similar payment_method,High,3000,Proveedor 1,1200,600,All Cleared,1/15/2025,37445041ca56ab5df28cf2d3cd7c48cf776cf6bb5ef65a7d931cc400ce17b293,North,Office Supplies,Bank Transfer,,Inv-7275,,,
similar value,High,3000,CET New York,1200,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/28/2025,3f26216f519ec843d5793ed0703cdb45568e8a9d923813119815aeee4a97c726,West,Online Course Creation,Bank Transfer,,Inv-8535,,,
similar reference,High,3000,Wilhelm Klein,1200,600,All Open,1/25/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232,West,Packaging Services,Credit Card,Sample approval required before full production,Inv-1180,,,
similar value,High,3000,COMUNASA,1200,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar reference,High,3000,WCB - British Columbia,1200,600,All Open,3/16/2025,5823b370be2caf14934062afd965627b6e8e32bb309eeceab95d3c83d727baf8,South,Performance Evaluation,Cash,Custom orders are non-refundable,Inv-6952,,,
exact,High,3000,COMUNASA,1200,600,All Open,1/19/2025,5db8f33e4c78d20c39172530e998bbe95293ba77db4ea7e727b2cc12d3b941a6,South,Postage and Shipping,PayPal,,Inv-8706,,,
similar payment_method,High,3000,Phunix GmbH,1200,600,All Open,3/4/2025,5eca3a38ff86689da427a44d963b14fd033f081c16b5f46797027fb3aa2d6211,North,Poster and Banner Design,Credit Card,Temporary access to services is provided until full payment,Inv-2625,,,
similar vendor,High,3000,Miller Company,1200,600,All Open,1/14/2025,626be1f56fe1e58a00ebd8b838de7f7e9f25b353773fa429d416a2a224923828,South,Press Release Writing,Bank Transfer,,Inv-579,,,
unique,High,3000,Manhattan Corp.,1200,600,All Open,1/4/2025,674bd4d269528192f9e0969e64e7f355a05b7c079cc5c081070586f7c137e343,South,Print Advertisement Design,Cash,,Inv-383,,,
similar payment_method,High,3000,Proveedor 1,1200,600,All Cleared,1/14/2025,6d8f655b3e4c9a40673a01655565ca330ae09544484d27189e3c44819bc402d8,West,Printing and Reproduction,PayPal,,Inv-7346,,,
similar special_instructions,High,3000,IOT AG New GL - (InterCompany Acco,1200,600,All Open,2/24/2025,705ecbcca58015e32556308132fbb15acdbe6b700593efdf256d5189ef80686b,West,Product Launch Services,Credit Card,,Inv-9967,,,
unique,High,3000,Anja Müller,1200,600,All Open,3/3/2025,76452304e7f152b97c3ad1e53b6107a86e3879ae3eb1fe4f4b7c7fa14155a1f3,West,Product Photography,Bank Transfer,,Inv-5796,,,
similar payment_method,High,3000,Global Business Properties,1200,600,All Cleared,3/4/2025,76a4b5bf7bad1b18cdd645d534a98917e03fb4971a6176e5dfebccd29c4d55ec,East,Product Testing and Evaluation,Credit Card,,Inv-9431,,,
unique,High,3000,Delta Steel Inc.,1200,600,All Open,1/10/2025,7d772bbbc31dda5eae46bbb38e1dd41d61217356d7dfdaf6af24bda32d3e5b54,North,Public Relations Services,PayPal,,Inv-1397,,,
similar region,High,3000,Global Business Properties,1200,600,All Cleared,2/20/2025,7d9cd1c4f11c9d1a2a54e39c2d613be53b82c45abaf8de6ccfb609913f49596c,South,Quality Control Services,Cash,,Inv-3569,,,
similar reference,High,3000,Global Business Properties,1200,600,All Cleared,2/18/2025,7d9ff6a6bfc35dcff3b88f005598ed98bfa2a48c7daeaed40d4e9cfe3a3d41f2,East,Recruitment and Staffing,Credit Card,,Inv-345,,,
similar payment_method,High,3000,Smith & Partners,1200,600,All Open,3/15/2025,828a263c1265960e2d24faa35021acf7ebbef6e269c12aa43b10750c95b78cc7,South,Reputation Management,Cash,,Inv-6848,,,
similar reference,High,3000,Phoenix Supplies,1200,600,All Cleared,3/1/2025,832c01c585d37fa631520efa758cde7284da45848a46e755e9e9d4fba8cc8b0a,North,Risk Management Services,Cash,Specific payment instructions are attached,Inv-8267,,,
similar special_instructions,High,3000,Aramingo-00,1200,600,All Open,4/7/2025,886243053ba1bf5e0f4a70b953bc40b8758e42ee9cba4ca56a56e9a8c9952e33,North,Royalty Payments,Bank Transfer,,Inv-4099,,,
similar payment_method,High,3000,SingaporeIOTMMVENDOR,1200,600,All Open,2/15/2025,9010cdd09cae0da3572e270728a2aaa1de30261ac4d4abb296a25e9909108006,South,Seminar Fees,Bank Transfer,Compliance requirements must be met for processing,Inv-7447,,,
similar special_instructions,High,3000,Global Business Properties,1200,600,All Cleared,2/9/2025,9335fe1b0ab1bf53594a5b85cdae6980f4ffed3aa949ba5e90ffd542275881c8,West,SEO Optimization Services,Cash,,Inv-5645,,,
exact,High,3000,Smith & Partners,1200,600,All Open,1/13/2025,965ac15d0071b9009136bbac6afaf39b27f483dad7c2ebc1c9e8cf122cdb7c3b,West,Social Media Advertising,Credit Card,Seasonal rates apply to services rendered,Inv-404,,,
exact,High,3000,COMUNASA,1200,600,All Open,1/3/2025,9c227fd3df3e5c98c894fe19a314fc5ca0591f6aee90edfe0d13e4fac657315f,East,Social Media Management,PayPal,,Inv-379,,,
similar reference,High,3000,Anja Müller,1200,600,All Open,3/14/2025,9e095dacc70941b0bbd7bb0a2fb8059f006ba53bf3e8a4be35394445903f2248,West,Software Development Services,Cash,Maintenance fees are included,Inv-577,,,
similar region,High,3000,COMUNASA,1200,600,All Open,2/4/2025,9ffc694b9f25ac36a43600422ca74b83a2ebffd43411b81fec94841a10624167,East,Sponsorship Fees,PayPal,,Inv-3571,,,
similar date,High,3000,kneifelinchen Sibylle,1200,600,All Open,4/7/2025,a040f57cd5c45e8f6073030c3c4b74dafca82e5f708dcbbda699b4da98e07982,West,Subscription Fees,PayPal,Subscription renewal details are attached,Inv-6439,,,
similar description,High,3000,Global Business Properties,1200,600,All Cleared,4/6/2025,a1ed3a73112e2646cf2df4c48d24dff6cd3db013f37582ddb33de3c51b581604,West,Survey and Data Collection,Credit Card,,Inv-8138,,,
unique,High,3000,WCB - New Brunswick,1200,600,All Open,1/19/2025,a3886a402285177969fa7592fea0ea72d3451389c55ddca7bddedefa86731893,East,Tax Preparation Services,Bank Transfer,Software license agreement is attached,Inv-6006,,,
similar vendor,High,3000,Global Business Properties,1200,600,All Cleared,1/30/2025,a423a4683bef90c00bf1c0c5238b9ab4ec36a8f0e548f5231fb0311283d943d0,North,Team Building Activities,Bank Transfer,,Inv-9667,,,
similar vendor,High,3000,Global Business Properties,1200,600,All Cleared,1/24/2025,a45d968661c96933881a058687ef9dcc21b3c958116c098095edf82c0efec16a,South,Technical Writing Services,Bank Transfer,,Inv-1057,,,
similar date,High,3000,WCB - Ontario,1200,600,All Open,4/9/2025,a833f7f95c77ab8603d5ef0e2a1b91eaff3ce63ea5f93418dad42021eb75462e,East,Trade Show Booth Rental,Cash,,Inv-1451,,,
similar vendor,High,3000,Proveedor 1,1200,600,All Cleared,2/9/2025,a936fd3d5863b56de3b152f0baca4ede4e56bbdf21a66eee71ad23c1046dbc29,West,Training and Workshops,Cash,,Inv-2005,,,
similar value,High,3000,Delta Steel Inc.,1200,600,All Open,2/16/2025,affbb5c7fe851feb7e1c80c7c17dda5f5644f98a6c7f72aad30c29222dc5dbf1,West,Transportation and Logistics,Credit Card,,Inv-2715,,,
exact,High,3000,?????????,1200,600,All Open,1/15/2025,b6e2e50ef7d05837113b7ed02e27cba9f7f1d9b492203c717d75a681d6f42d03,East,Travel and Accommodation,Credit Card,,Inv-4043,,,
similar value,High,3000,Global Business Properties,1200,600,All Cleared,2/8/2025,b83e6821f0fcb61ff8ced3e801bcee41990e6d4200f72da0f2fac2b1dd752f36,North,Video Editing Services,Bank Transfer,,Inv-544,,,
similar value,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,1/30/2025,be5ece83c862b96cd6a38ad4a1aa3533d33e58f2c9fb013b61d08d23362791c8,South,Videography Services,Credit Card,,Inv-760,,,
similar payment_method,High,3000,Anja Müller,1200,600,All Open,2/9/2025,bf2800da288c56923253341760f0001b1ce32be91c4469c75dae57a9d142896b,South,Voiceover Recording,PayPal,,Inv-2833,,,
similar description,High,3000,Proveedor 1,1200,600,All Open,2/11/2025,c0669316d7d78b8505fb903ad16a7099aa98f4354b78c8b37345aea02de401dc,South,Volunteer Coordination,Cash,Early termination fee applies,Inv-7098,,,
similar description,High,3000,?????????,1200,600,All Open,1/4/2025,c6017bb1a3088e0a90b74b796d7f4e816bc2a41e349d209418149d02c5a68fb4,East,Warehousing Services,Bank Transfer,,Inv-4951,,,
similar region,High,3000,PA Electronics,1200,600,All Open,1/18/2025,c9368218e2978360009b5ee240a632b40e84c017fd3e249d6cae1bb6b6d54c67,South,Web Hosting Fees,PayPal,Mileage charges are included,Inv-4103,,,
similar special_instructions,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,1/10/2025,c9dd705aed4f37a160cbafd3ce4c3703e0d16dff0ff6e730b725fafd97c2ad30,West,Webinar Hosting Services,Credit Card,,Inv-5971,,,
unique,High,3000,"eSupplier, Inc",1200,600,All Open,3/14/2025,cb65b705bb551731abb2bbf50ea50e3799bf186d82ec6e3a2f336c6123d30f55,East,Website Development Fees,Cash,Travel expenses are included,Inv-7338,,,
similar region,High,3000,?????????,1200,600,All Open,2/23/2025,d0ba31916e18c5d23647c8c226c46a4726955f48e340dcc64f39b23ede19a382,East,Agriculture Consultancy,Cash,,Inv-4511,,,
similar description,High,3000,Jack Douglas,1200,600,All Open,3/3/2025,d111eef827b040768b456c442d87b6b40c9344472fd6aea8d68d35059b2ff155,South,Agroecology Research,Credit Card,Staff training fees are included,Inv-1324,,,
unique,High,3000,WCB - Alberta,1200,600,All Open,1/25/2025,d2166c7bf46b68a1f599614cfd705d9bd314e7764b843f76f31e4d33d1001585,West,Agroforestry Services,PayPal,,Inv-5197,,,
unique,High,3000,WCB - Ontario,1200,600,All Open,1/4/2025,d7591c8b2b33a23ba01308841a38fc1b1ca959d894b017d0613a39cd3b7c2662,South,Air Quality Testing,Bank Transfer,Vendor compliance checklist is attached,Inv-7877,,,
similar vendor,High,3000,WCB - Quebec,1200,600,All Open,3/7/2025,d9746c21081a5b920d13313593eb3c9d0b21cccce9329b79e44cabdf89e32882,East,Animal Breeding Programs,Credit Card,,Inv-7167,,,
similar value,High,3000,Jack Douglas,1200,600,All Open,1/3/2025,dda7a89a6b4cc983230b94a315e9d16c5da73c5faefa7a50124718a81463a101,West,Animal Health and Welfare,Bank Transfer,Packaging fees are included,Inv-8548,,,
similar payment_method,High,3000,Revenue Quebec,1200,600,All Open,3/10/2025,e05969b8a0a17cc2f1112a27b5ce6d61efac45d33b42b9b569b94ec947a94657,East,Aquaculture System Design,PayPal,,Inv-8905,,,
similar description,High,3000,"eSupplier, Inc",1200,600,All Open,2/8/2025,e06adeb9993a5f145275a53eaccad30c9c59d216843a6d4302eca4dabf7c42db,East,Architectural Design Services,PayPal,,Inv-1223,,,
similar description,High,3000,Miller Company Inc.,1200,600,All Open,2/1/2025,e1ef132fe53f82452af8fa37d0714a74ee502de09d942811aff44c978682a4bf,East,Beach Nourishment Projects,PayPal,,Inv-2944,,,
similar value,High,3000,Anja Müller,1200,600,All Open,2/9/2025,e27b43e2a1ba70097b380ac9e0b2b8340b47ea66387de8142ff096cb4c1c167b,South,Beekeeping Services,Credit Card,,Inv-8241,,,
similar region,High,3000,Delta Steel Inc.,1200,600,All Open,1/21/2025,e410b84b50008ac247beac4333d606d0ff4356c8c3c64cc4a401afc4910efc10,South,Biodiversity Conservation,PayPal,,Inv-9367,,,
exact,High,3000,GATORSA,1200,600,All Open,1/4/2025,ecab7268eba2cfbad7207bc6a000fd952777d9625830d6614b0965c21c246544,East,CAD Drafting Services,Bank Transfer,,Inv-5896,,,
exact,High,3000,WCB - Ontario,1200,600,All Open,1/17/2025,ed2e32255fe4d6a9eb78b12f3c946f0688b531bd6a4b20e629301ce2e74a5474,West,Carbon Footprint Analysis,Credit Card,,Inv-4423,,,
similar vendor,High,3000,kneifelinchen Sibylle,1200,600,All Open,1/29/2025,f75f474233e1a9aeb612606ec90b477c97f386a6238e54adfc4f952a65a3ac41,West,Climate Change Mitigation,Cash,,Inv-2380,,,
similar reference,High,3000,MECANICA AUTOMOVIL SANTANDER,1200,600,All Open,3/11/2025,f94762787e7f099e41aa05bbfcbecf64c83e0aeaaeb691cbdf909e6893436fbf,South,Coastal Erosion Control,Cash,,Inv-754,,,
similar region,High,3000,CAFS Chemicals & Pharmaceuticals,1200,600,All Open,2/2/2025,facfbba545baf6c75b4d2f07a4f547977f54b190e489fc85d0634d1a539b7f81,East,Coastal Management Services,Credit Card,,Inv-5292,,,
exact,High,3000,Miller Company Inc.,1200,600,All Open,1/25/2025,fb689f580d005c83d02a8c4e64a965c972ddf001f06f196bd65abe8befbcd502,South,Community Garden Programs,PayPal,,Inv-4973,,,
similar description,High,3000,WCB - Saskatchewan,1041.798082,520.8990411,All Open,3/26/2025,164d2ec1e8f1035d501e10bf16415b4f1de4efa4f065f8631eafff55672b70ae,West,Community Supported Agriculture (CSA),Cash,,Inv-8643,,,
similar vendor,High,3000,Walldorf Grosshandel,1041.798082,520.8990411,All Open,3/11/2025,34c59432e79581910ed0af92bd6fc86c2d9b1f66db2ae94bc1c1ea0e7afe7315,South,Composting Services,Cash,,Inv-7448,,,
similar vendor,High,3000,"Neubauer, Friedrich",1041.798082,520.8990411,All Open,3/10/2025,6010937ba57f2f21f3525ab31541872789f4eb85028259d7a06a2c08eca078a4,West,Creative Concept Development,Cash,,Inv-322,,,
similar date,High,3000,Abbot Supplies Inc.,1041.798082,520.8990411,All Open,1/26/2025,7748d9a365905ccd4c179b8e41e08e28ef98bd25e33f6f434fe76b703c46a10f,North,Crop Planning and Rotation,Cash,,Inv-2948,,,
similar value,High,3000,Revenue Quebec,1041.798082,520.8990411,All Open,2/26/2025,e5eaf802e9533978451eaf1375ea20e5062bfdf8e353c7bb6f09ca82d5213fdd,South,Customer Relationship Management,Cash,,Inv-8911,,,
unique,High,3000,State of New York,1041.798082,520.8990411,All Open,1/13/2025,f5eb83521fd27f648b06c63a5a8c267bc4929156b2bbc0ee9e62d0711f2750df,South,Dairy Production Consulting,Credit Card,,Inv-5159,,,
